text,sentiment
"I cannot answer for others, great King.",5 stars
Only myself.,1 star
Then believe me when I tell you,5 stars
I love my wife no less than you do yours.,5 stars
I am not fit to face her any more.,2 stars
I should have fought harder.,2 stars
You would have been killed,1 star
if you'd faced Vaali.,3 stars
Then where would we be?,1 star
"Living under the boot of a tyrant,",5 stars
"with no freedom, no hope.",1 star
A king must always protect his people.,5 stars
Despite the costs.,3 stars
Prince Ram can help us defeat Vaali,5 stars
and regain our true home.,5 stars
"Your memory is short, Hanuman.",2 stars
Vaali is too powerful.,2 stars
"If our King cannot beat him,",1 star
what hope do these two have?,5 stars
Look at them.,5 stars
They are not great warriors.,2 stars
What armour do they have?,4 stars
No shiny shields or deadly swords.,2 stars
Vaali's very step,4 stars
can make the forest shake.,4 stars
"With a clap of his hands,",1 star
he can blow down trees.,5 stars
How will you face such a being?,5 stars
You are neither gods nor saviours.,1 star
You are just what you appear to be.,5 stars
Humans.,3 stars
It's... it's coming back!,1 star
We'll be destroyed!,1 star
"No, not destroyed.",1 star
Enlightened.,5 stars
Ruma.,3 stars
You say there was no trail,1 star
for you to follow?,3 stars
Show them the jewellery.,5 stars
Maybe there was.,3 stars
"We will find our wives together,",5 stars
Prince Ram.,5 stars
This anklet belongs to Sita!,5 stars
She was wearing it,3 stars
when I saw her last!,5 stars
How did you get it?,5 stars
"I found it, young Prince.",5 stars
"I found the anklet upon a tree branch,",3 stars
after hearing what I thought,4 stars
was the cry of a bird,1 star
coming from the clouds.,5 stars
A cry?,1 star
Now I realize,5 stars
it must have been a woman's cry.,1 star
"If I had known whose it was, my Prince,",3 stars
perhaps your search would already be over.,3 stars
But the clouds are too high,3 stars
even for me.,5 stars
"You have given us hope, Hanuman,",5 stars
and we have had so little of that,2 stars
since Sita vanished.,2 stars
Thank you.,5 stars
Hanuman does not know who is responsible,3 stars
for kidnapping Princess Sita.,4 stars
He does not know whose Pushpak Viman it was,3 stars
that flew so high above the clouds.,1 star
But I do.,3 stars
This crime was not committed,1 star
"by a mere rakshas,",3 stars
"or a beast of the Dandaka Forest,",5 stars
but by the demon king himself.,3 stars
The greatest darkness,5 stars
the worlds have ever known.,5 stars
The one who has conquered the heavens,5 stars
and humbled the gods themselves.,5 stars
He's known by many names.,4 stars
"Lokvinashak, Dashaasan, Lankeshwar.",4 stars
Whose name is the very scream,1 star
that shakes the realms.,5 stars
That name is...,1 star
Ravan.,3 stars
A name. At last.,5 stars
Ravan.,3 stars
"Tell me of this Ravan, o great Sugreev.",5 stars
Tell me of the one I must destroy.,5 stars
"Though exiled in the forest,",3 stars
Ram's love for his wife was boundless,1 star
There was nothing,1 star
he would not do for her,2 stars
"So, when Princess Sita asked him",3 stars
"to get the beautiful golden deer for her,",5 stars
how could he refuse her?,1 star
She had never seen anything,1 star
so beautiful,5 stars
But Lakshman cautioned him,3 stars
that there was something unnatural,1 star
about the creature,4 stars
But Ram was determined,3 stars
to see his wife smile,4 stars
A small thank you for all the hardships,4 stars
she had endured in their exile,3 stars
He asked his brother,3 stars
to keep her safe,5 stars
Had Ram only listened,1 star
"to his brother that day,",5 stars
"had he not been led astray,",3 stars
"perhaps, then,",3 stars
this whole story would be different,3 stars
and Ram would have remained happy,3 stars
in the forest,5 stars
For Ram lost much that day,2 stars
"But in killing the demon Maricha,",3 stars
he was not the only one to suffer,1 star
"As he watched the demon die,",1 star
"mimicking screams in Ram's voice,",4 stars
he remembered,5 stars
"the words of his brother,",5 stars
"""Don't go, for I fear this is a trick",1 star
"that may destroy us.""",2 stars
"All right, big boy, shall we continue?",5 stars
It's over,2 stars
You're safe now,5 stars
I thought my life was over,2 stars
You risked your life for me. Thank you,5 stars
How could I do any less?,1 star
How did this happen?,1 star
I was kidnapped,1 star
Stolen from my home last night,1 star
"The demon said nothing,",1 star
gave me no reason,1 star
Strange,1 star
A rakshas like this rarely enters,1 star
a city alone,5 stars
"Tell me, who is your king?",5 stars
"It's my uncle, the great King Suketu",5 stars
I am sure his guards,3 stars
must be searching for me,5 stars
Suketu?,2 stars
Does King Suketu know this forest?,3 stars
We are on a mission and time's running out,4 stars
Maybe he can help us?,3 stars
Why not? You people saved my life,1 star
My uncle has vast resources,5 stars
"If you take me to him,",3 stars
I'm sure he will reward you,4 stars
I like the sound of this reward,5 stars
Maybe it's food,3 stars
"If it is, I think I'll like the taste of it",3 stars
even more,5 stars
"Hanuman, a moment",4 stars
See how they talk behind your back?,3 stars
You are the prince!,5 stars
Does Hanuman think he's better than you?,3 stars
"Quiet, Hariya",5 stars
My head is pounding for some reason,3 stars
and your voice only makes it worse,2 stars
Some more water then,3 stars
to ease your headache,4 stars
I know of Suketu. He is a good man,4 stars
"I feel there is a ""but"" coming",3 stars
But he may not be the ally,3 stars
we think,5 stars
There is a darker history,3 stars
that may surprise you,3 stars
Enough of your whispering!,5 stars
Suketu knew my father,5 stars
They were allies and friends,5 stars
Someone has to think of our mission,4 stars
Someone has to lead,1 star
If we are to hold this girl's hands,3 stars
"all the way home,",5 stars
then at least we can get some help,3 stars
from a friendly face,5 stars
Angad is wise. We must listen to him,5 stars
"Unless you think otherwise, Hanuman",3 stars
"Jambhvan, this is the best choice we have",5 stars
Let's head to the Yaksh Kingdom,5 stars
We're almost there. Come on,4 stars
Last one there has to rub Jambhvan's feet!,5 stars
Not after last time!,1 star
I nearly passed out!,1 star
"This time it'll be you, Nal!",5 stars
Look at them,5 stars
To be young,3 stars
"Angad, are you all right?",3 stars
I'm fine. Take care of yourself,4 stars
Help! Help!,1 star
Now what?,1 star
"Nal, what happened?",1 star
Why did you scream?,1 star
What is this?,5 stars
Have you ever seen anything,5 stars
"like it before, Jambhvan?",4 stars
Never and that's what worries me,5 stars
These vines were not here yesterday,1 star
What has happened to my kingdom?,5 stars
My King?,1 star
Don't touch it,1 star
It might be poisonous,2 stars
Look! Angad's just ripping them apart,1 star
"See, they're just vines,",2 stars
easily pushed aside,1 star
We should wait,3 stars
You can hide outside if you wish,3 stars
I will follow the Prince,5 stars
"There are darker forces at work here,",3 stars
Hanuman,4 stars
"Perhaps, old bear. But if so,",3 stars
we can't let them face it alone,5 stars
Dharini? Kandarpa?,2 stars
Where is everyone?,1 star
There!,5 stars
Dharini? Kandarpa?,2 stars
"Nirvani, where were you?",1 star
We were so worried!,1 star
Who... who are these vaanars?,1 star
Don't worry; they're friends,4 stars
They saved me from a rakshas,5 stars
in the forest,5 stars
What happened here?,1 star
How did these vines surround the city?,1 star
No one knows. They grew overnight,5 stars
King Suketu is planning to use all his power,5 stars
to perform a mahayagna to destroy this evil,5 stars
Take us to him,5 stars
I must speak with my uncle at once,5 stars
Uncle Suketu!,5 stars
Nirvani! Thank the gods you're safe,5 stars
We searched the city but feared the worst,2 stars
when you went missing,5 stars
I would have died,1 star
if it wasn't for these heroes,2 stars
They killed the rakshas,5 stars
that took me,3 stars
These are the vaanars of Kishkindha,1 star
"I present to you Hanuman,",5 stars
Jambhvan and Prince Angad,4 stars
It is an honour to welcome you,5 stars
"to my kingdom, Prince Angad",5 stars
"But tell me,",3 stars
how did you get past these vines?,5 stars
What do you mean? I just pulled them apart,1 star
They're just vines,2 stars
"Impossible! We've tried cutting them,",1 star
"burning them,",1 star
"even using magic, but nothing works",1 star
They surround the entire kingdom now,5 stars
"Wait, if they surround your entire kingdom",2 stars
then that means...,3 stars
Yes. I'm afraid there's no way in or out,3 stars
You're as trapped here as we are,5 stars
Trapped? No!,1 star
We must leave at once!,1 star
"We're on an urgent mission,",5 stars
and its success grows slimmer,2 stars
with every setting sun!,5 stars
But that's not for me,3 stars
but for our great leader to decide,4 stars
"Isn't it, friend?",1 star
I see much has changed in Kishkindha,3 stars
I was sorry to hear,1 star
about your father's death,4 stars
It wasn't right,2 stars
what Sugreev did to him,5 stars
"Thank you,",5 stars
but Sugreev is our king now,4 stars
"If we don't do his bidding,",2 stars
our lives are forfeit,1 star
I need your help,5 stars
Then you will have it,4 stars
"For saving Nirvani,",4 stars
all my resources are yours,5 stars
"But, first, we must destroy these vines",3 stars
"Prince Angad,",5 stars
the vines opened for you before,1 star
Perhaps you possess something,2 stars
that we do not,1 star
Perhaps he does,3 stars
What? This worked earlier!,1 star
Why won't you move?,1 star
#NAME?,4 stars
"- Be quiet, old bear!",5 stars
"Perhaps you should resume your mahayagna,",3 stars
Lord Suketu,5 stars
Surely this barrier would be no match,2 stars
for your immense power,5 stars
"Whatever we do, it needs to be fast",4 stars
"If we fail, Lord Suketu will not be there",1 star
to stop Sugreev's sword,5 stars
when he swings it down on our necks!,2 stars
"Angad, we do this mission to help",3 stars
"Prince Ram, not for fear of death",1 star
I have faith,5 stars
Prince Ram will guide us,5 stars
You come as envoys of Ram?,1 star
Ram of Ayodhya?,1 star
Do you represent Ram of Ayodhya?,1 star
Speak!,5 stars
"Yes, Lord Suketu",5 stars
We've been sent on this mission,5 stars
to honour an oath made by King Sugreev,5 stars
"to Prince Ram,",5 stars
"to find his wife, Princess Sita",4 stars
Cursed be his name,1 star
Ram and his brother,4 stars
took everything from me,1 star
"My beautiful daughter, Tataka,",5 stars
"and my loving grandson, Maricha",5 stars
Tataka's foolish husband,1 star
mocked Sage Agastya,5 stars
and was killed for his mistake,1 star
It should have ended there,1 star
But the sage spared no one,1 star
My daughter and grandson,5 stars
"were also cursed,",1 star
"robbed of their true appearance,",5 stars
"transformed into monsters, into rakshasas",5 stars
"Driven mad by their transformation,",1 star
their minds became twisted,2 stars
until nothing of my sweet daughter,1 star
and her son remained,5 stars
They terrorized the holy men,1 star
"of the forest, attacking them,",5 stars
destroying their homes,1 star
and fouling their yagnas,1 star
"Eventually, Sage Vishwamitra appealed",3 stars
to Ayodhya's king,5 stars
who sent two warriors,1 star
"They first killed my sweet daughter, Tataka",5 stars
"Then later, when my grandson, Maricha,",3 stars
was tricked by Ravan,1 star
"into posing as a beautiful golden deer,",5 stars
they killed him as well,1 star
"That arrow did not just kill him,",3 stars
it killed my spirit,1 star
Those two warriors,1 star
"were Princes Ram and Lakshman,",5 stars
sons of Dashrath of Ayodhya,5 stars
I would rather die,2 stars
with all of us trapped inside these vines,5 stars
than see you leave here and help Ram!,5 stars
"Uncle, you can't do this!",1 star
We will starve!,1 star
The vaanars will starve,1 star
before our people will,5 stars
"Once they are dead, I will resume",4 stars
my mahayagna and remove the vines,5 stars
"King Suketu, you're wrong about Prince Ram",5 stars
He is a man whose virtue and righteousness,5 stars
have given my life a greater meaning,5 stars
There is a great evil,5 stars
spreading across the realms,5 stars
These vines are just the start,5 stars
I believe Prince Ram may be the only one,1 star
that saves us in the end,4 stars
Ram and his brother robbed me,5 stars
of all that I loved in life,5 stars
Every day since has been one,5 stars
of hollow existence,1 star
Let the evil come. What can it do to me,5 stars
that hasn't already been done?,2 stars
"I'm sorry, my friends",1 star
I was not expecting to bring you,2 stars
into this... trap,1 star
"You did nothing wrong, Nirvani",5 stars
You will release me!,1 star
Release me!,1 star
"Angad, control yourself",5 stars
"Angad, are you...",2 stars
Don't touch me!,1 star
"Here, Prince Angad, relax a little",4 stars
Have some more water,3 stars
These vines are as strong as steel,5 stars
and as sharp as knives,5 stars
It's almost like it let us inside,3 stars
Suketu's kingdom,5 stars
with the intent to trap us inside,4 stars
"Yes, I thought that, too",3 stars
We must discover what this is,5 stars
and what its connection to Angad is,5 stars
Put out the fire,5 stars
There will be no yagna,1 star
"Tell the priests, if any of them",1 star
"say a prayer against these vines,",5 stars
they will face my punishment,5 stars
Hanuman saved my life,5 stars
How can you do this to him?,5 stars
"To our people, to me?",1 star
How dare you question me,5 stars
You know nothing of the pain,1 star
I have endured,5 stars
My daughter,5 stars
My grandson,5 stars
Dead because of Ram,1 star
"Tataka was my cousin, my sister",5 stars
Maricha was like my own son,5 stars
"They were my family, too, Uncle!",5 stars
But they were already dead and gone,2 stars
the moment Sage Agastya cursed them,5 stars
Ram killed only their bodies,1 star
He gave them salvation,5 stars
"I will never forgive him,",5 stars
never help him,1 star
Then help yourself,5 stars
To forgive is to set a prisoner free,1 star
"and discover, in the end,",5 stars
that the prisoner was you,5 stars
"Nirvani! I'm sorry,",1 star
but I will not help them,2 stars
"Then, I will",3 stars
What was that?,1 star
"It's the vines, Nal",5 stars
"Go, deal with it. Go on!",5 stars
Why me? You are the older one,1 star
But Mother loves me best,4 stars
"If anything happens to me,",3 stars
she'll be really upset,2 stars
You on the other hand?,3 stars
Not so much. Weren't you adopted? Go!,2 stars
Don't worry,5 stars
Remember your courage,5 stars
Remember why we are here,5 stars
Why do you keep us here?,1 star
Whom do you serve?,5 stars
"So, you're the little monkey",3 stars
that's caused all this trouble,1 star
Hardly even worth it,2 stars
How can you know my worth?,5 stars
You cannot see into my heart or soul,5 stars
"Do you challenge me, monkey?",3 stars
Do you wish to have your worth measured?,3 stars
"If the reward is freedom, then yes",3 stars
I am not afraid. Are you?,1 star
You are an insolent one,1 star
I see now why my mistress hates you so,5 stars
Fine. A game then,4 stars
Mistress?,1 star
It's unfair to play against one,1 star
that I can't see,3 stars
Show yourself,5 stars
and stop hiding behind those vines,1 star
"Careful, Hanuman!",5 stars
We don't know what we're up against,3 stars
"Stand back, Hanuman!",5 stars
I will face this demon,5 stars
"Oh, quiet, you fool",5 stars
You've done enough,3 stars
The grown-ups are now talking,4 stars
Lie down,1 star
Leave him alone!,1 star
Then come forward,4 stars
"You wanted to see the real me,",5 stars
didn't you?,1 star
"Hanuman, wait!",1 star
I'm coming with you,5 stars
"No, Jambhvan!",2 stars
"Listen to me. If this doesn't work,",1 star
you have to convince Suketu,3 stars
to complete the mahayagna,5 stars
You and Angad must still find Princess Sita,4 stars
"If I play your game and win,",5 stars
will you let these people go free?,1 star
Of course,3 stars
Do you want me to give you my word?,1 star
We both know that's worth nothing,1 star
TRUE,5 stars
"But then again,",3 stars
what other choice do you have?,5 stars
"So, do you accept my challenge, hero?",3 stars
"Hanuman, please",5 stars
We'll find another way,3 stars
That mace won't protect you in there,1 star
"I am more than my mace, my friend",5 stars
Hanuman,4 stars
Hanuman!,5 stars
"Jambhvan, quick!",5 stars
Something's wrong with Angad!,1 star
"Angad, are you all right?",3 stars
I don't think he is!,2 stars
"Angad, what's happened to you?",3 stars
You will all die,5 stars
You will all die!,5 stars
Though the two Princes had been led astray,3 stars
"by Ravan's cunning,",4 stars
the abduction of Princess Sita,4 stars
did not pass unnoticed,1 star
Nor unopposed,1 star
The noble Jatayu had witnessed the crime,3 stars
and came swiftly to the Princess's aid,5 stars
"Few creatures alive could defy him,",2 stars
and his wrath was terrible to behold,1 star
There was no foe,1 star
he had not overcome,3 stars
"But, until that grim day,",3 stars
he had never faced Ravan,1 star
And Jatayu's bravery,5 stars
came to an end,1 star
Or so it would seem,3 stars
"Wounded, dying, he lived long enough",1 star
to pass on what had happened,1 star
"So, even with his last breath,",3 stars
he gave the two Princes hope,4 stars
And was thus rewarded,5 stars
by the gods,5 stars
And the quest to save,5 stars
the Princess began,4 stars
Jatayu!,1 star
No!,1 star
Brother!,5 stars
Come on,5 stars
My leg!,5 stars
Hanuman,4 stars
Hanuman,4 stars
Help your brother up,5 stars
Jatayu! Jatayu!,1 star
Jatayu!,1 star
Nal!,1 star
"Now, that's not something you see",3 stars
every day,5 stars
Stop! Stop! I want to get off!,1 star
"Do something, Nal!",1 star
Stop him!,1 star
Let my brother go!,5 stars
I've got this,5 stars
Hanuman! Wait! Wait!,1 star
Nal!,1 star
Brother!,5 stars
"Wait for me, Hanuman!",1 star
Let me help!,5 stars
Whoa!,5 stars
Nal! Nal! Where's Nal?,1 star
No need to thank me,5 stars
"Where are you, brother?",1 star
Nal!,1 star
I'm here!,5 stars
I landed on Jambhvan,1 star
Your belly is great for breaking falls,5 stars
Go help Hanuman,5 stars
Help him?,1 star
Does he look like he needs help?,3 stars
You misunderstand,3 stars
Go help stop him!,1 star
He doesn't know who he's fighting,3 stars
"Time to be rid of you, monster",5 stars
"Hanuman, child of the wind",5 stars
Child of the wind,5 stars
Who's there? Show yourself,5 stars
Show yourself!,5 stars
What...,1 star
What have you done to my brother?,5 stars
Tell me!,5 stars
Tell me!,5 stars
Are you done?,1 star
Now it's my turn,5 stars
"Stop, Hanuman. Stop",1 star
He's an ally,4 stars
"Unhand me, Angad! He's about to...",2 stars
"Great Sampati, hold back your anger",5 stars
Do you recognize me?,1 star
"I knew your brother, the noble Jatayu",5 stars
Jambhvan? Is that you?,1 star
Your fur has turned grey,1 star
"As have your feathers, old friend",5 stars
Forgive the over-enthusiasm,1 star
of these young ones,5 stars
We mean no harm,5 stars
This is Jatayu's brother?,1 star
Older,3 stars
"Please, please forgive me, Lord",1 star
I did not know,2 stars
"What's going on, Jambhvan?",1 star
Why are you here?,1 star
We need to talk,5 stars
I have grim news to tell you,5 stars
That cannot be true,1 star
"My heart breaks for your loss,",1 star
"great one, but it is true",4 stars
"Ravan slew your brother,",1 star
the noble Jatayu,5 stars
Mercilessly cut him down,1 star
as he tried to save Princess Sita,4 stars
"He died bravely,",5 stars
but the powers of Ravan...,3 stars
Ravan,3 stars
Ravan!,5 stars
Ravan!,5 stars
Ravan!,5 stars
#NAME?,5 stars
#NAME?,1 star
"But he is in pain, Jambhvan",3 stars
"Yes. Yes, he is",5 stars
And there is nothing,1 star
we can do about it,3 stars
Ravan!,5 stars
Ravan!,5 stars
Ravan!,5 stars
Jatayu,3 stars
My brother,5 stars
My brother was always too bold,3 stars
"And this time,",5 stars
I wasn't there to save him,1 star
"Too bold, by far",2 stars
Always trying,5 stars
to achieve the impossible,5 stars
Always challenging me,5 stars
But that is the way,3 stars
of younger brothers,3 stars
Their love is often expressed,4 stars
in rivalry,5 stars
"So, it was that day my brother",3 stars
challenged me to fly towards the sun,5 stars
"He was too stubborn and I couldn't say no,",2 stars
so I flew with him to keep an eye on him,3 stars
I used my wings to shade my brother,5 stars
from the sun,5 stars
Long enough for him to recover,2 stars
his strength and fly to safety,5 stars
Though the price was high,3 stars
A price I'd pay happily,5 stars
again and again,5 stars
"I couldn't save him,",1 star
but I can avenge him,3 stars
But how?,3 stars
"I am a cripple, stranded on a beach",1 star
I cannot help myself,1 star
How can I avenge my brother?,5 stars
How can I make Ravan feel my pain?,1 star
"Ravan will pay for his crimes, my Lord",5 stars
He will pay for them all,5 stars
"I serve King Sugreev,",5 stars
and he is allied to the noble Prince Ram,5 stars
"of Ayodhya and his brother, Prince Lakshman",5 stars
The two Princes are unlike,2 stars
any other mortals,1 star
"Ravan has escaped justice too long,",1 star
but he will not escape them,3 stars
They sent you here? Why?,1 star
"Prince Ram sent me here to find his wife,",5 stars
"Princess Sita,",5 stars
the woman your brother tried to save,5 stars
"We have journeyed far from our homes,",5 stars
and yet found no trace of her,3 stars
I fear we have failed,1 star
Too much time has passed,2 stars
We were supposed to find her by now,3 stars
If we just had a clue,3 stars
"to where she may be,",3 stars
then our delay would be,2 stars
of no consequence,1 star
"I have failed,",1 star
and now all our lives are forfeit,1 star
Their faith in me,5 stars
has been sorely misplaced,1 star
You have looked everywhere,5 stars
for Princess Sita?,3 stars
"Every patch of land south of Kishkindha,",5 stars
where Ravan was seen heading,3 stars
after abducting Princess Sita,4 stars
The land...,5 stars
but not the sea?,3 stars
Have you looked there?,1 star
No. Not the sea,1 star
No one can search the entire sea,1 star
I can,5 stars
"Despite my age,",3 stars
"I have few blessings, vaanar",3 stars
And my vision is one,5 stars
I am far-sighted,3 stars
My eyes can see,5 stars
"further than the moon,",5 stars
past the blinding sun,5 stars
and every hidden star,5 stars
in the universe,5 stars
"What do you see, my Lord?",5 stars
I see shining waves,3 stars
I see swift free-jumping creatures,3 stars
of pure joy,5 stars
I see the elements at war,3 stars
I see terror,1 star
What else?,1 star
I... I see a city,5 stars
A beautiful city. Richer than the wealth,5 stars
of a thousand nations,5 stars
"What else, Sampati? What else?",1 star
I see a woman,1 star
gazing into the still waters of a pond,4 stars
with sadness in her eyes,2 stars
Sad eyes? Did you say sad?,1 star
"Is it Princess Sita, Sampati?",1 star
She... she...,3 stars
She could be no one else,1 star
Princess Sita? Are you sure?,3 stars
She is in Lanka,3 stars
Lanka,4 stars
Princess Sita has been found!,5 stars
The Princess has been found!,4 stars
The Princess has been found!,4 stars
She's in Lanka!,5 stars
Lanka! Lanka! The Princess is in Lanka!,5 stars
Let's go to Lanka! Lanka!,5 stars
Hold on. Where's Lanka?,3 stars
Across the sea,5 stars
Across the sea? Then our quest is over,2 stars
The Princess cannot be reached,1 star
We have failed,1 star
King Sugreev will punish us,5 stars
Lord Sampati!,5 stars
Are you all right?,5 stars
"So very tired and so very alone,",1 star
my brother,5 stars
You have our company now,5 stars
You have done us a great service,5 stars
We'll look after you,5 stars
There's no need for that,3 stars
Let me just rest for a while,3 stars
"Somewhere peaceful, with a breeze",4 stars
The breeze reminds me of flying,5 stars
Flying in the endless skies,5 stars
"Flying without a care,",4 stars
flying alongside my brother,5 stars
I tell you we are doomed!,1 star
We need to turn back and throw ourselves,1 star
at the mercy of our king!,5 stars
Perhaps he'll forgive us,3 stars
"We tried our best, didn't we?",5 stars
We've done all anyone could ask for. We...,5 stars
Hey!,5 stars
"What sort of talk is this? What are you,",1 star
man or monkey? You can't give up now!,5 stars
"Get away from me, you buffoon!",1 star
Watch it! You can't go around,5 stars
calling my brother a buffoon!,1 star
Only I'm allowed to do that,3 stars
"Now, I want you to...",5 stars
Get away!,1 star
That is enough!,3 stars
"Now, who else thinks we're doomed?",1 star
This is your one and only chance,5 stars
I thought as much,3 stars
"Now listen, we have work to do",5 stars
What?,1 star
Who's there?,1 star
Foolish old bird,1 star
You're imagining things,5 stars
Jatayu?,1 star
You have returned!,1 star
They said that you...,1 star
I understand,5 stars
You have come for me,5 stars
I have waited so long,5 stars
for this moment,5 stars
And it has come as a gentle breeze,5 stars
"I cannot reach you, Jatayu",1 star
You are too high,2 stars
Go on... without me,3 stars
"Brother! Look, brother!",5 stars
Let us fly together again,5 stars
Let us take to the open skies,5 stars
Let us fly forever,5 stars
Forever,5 stars
I managed to talk some sense,3 stars
back into them,5 stars
"Now, before they change their minds again,",4 stars
we need to find a way to reach Lanka,4 stars
Perhaps we could have Sampati search Lanka,3 stars
more thoroughly and find...,5 stars
"He's gone. Disappeared, but to where?",1 star
He's where he should be,5 stars
In the open sky,5 stars
Like a bird always soaring,5 stars
"towards the heavens,",5 stars
"he, too, has taken flight once more",1 star
to fly alongside his brother,5 stars
He is finally free,5 stars
Hanuman's destiny was entwined,5 stars
with the Princes of Ayodhya,5 stars
from before he was born,5 stars
And how the gods blessed a royal family,5 stars
with the greatest of heroes!,5 stars
"Though a great king, blessed with riches",4 stars
"beyond measure and a loving people,",5 stars
King Dashrath lacked the one treasure,2 stars
all kings desire,5 stars
Children,4 stars
"After performing a great sacrifice,",5 stars
"the gods blessed him with a gift,",5 stars
a bowl of divine rice pudding,5 stars
"By consuming the rice pudding,",4 stars
the queens would become mothers of legends,5 stars
Each was given a portion,3 stars
appropriate to her rank,4 stars
"Half went to Queen Kaushalya,",2 stars
the eldest,5 stars
Then a quarter to Sumitra,2 stars
and an eighth to Kaikeyi,5 stars
The last portion,3 stars
was given again to Sumitra,3 stars
"But not before a small bird,",3 stars
"drawn by the sweet smell of the pudding,",4 stars
snatched a portion for itself,1 star
"And beak-full of rice pudding,",4 stars
it flew away,1 star
"Seeing drops falling,",2 stars
"the wind god, Vayu, carried them away",1 star
across the land towards noble Anjana,5 stars
Destined to be the mother,3 stars
of Hanuman,5 stars
Hanuman,4 stars
My son,5 stars
"If you are my father, then please...",3 stars
Please help me,3 stars
Ask what you wish,5 stars
There can be no more secrets,5 stars
Then who am I? What am I?,1 star
Come. Let me show you,5 stars
"Brother, where are you? Nal!",1 star
I told you to stay close,1 star
I'm right here,5 stars
Jambhvan?,2 stars
Are you hurt?,1 star
"I'm not so fragile, Angad",3 stars
Did you know,3 stars
the truth about Hanuman?,1 star
Then why didn't you tell him?,1 star
"Tell me, Angad",3 stars
"Having just witnessed all this,",5 stars
what is your first impression?,3 stars
I don't know,2 stars
It's all so unbelievable,1 star
There you have it,5 stars
Hanuman would never have believed me,1 star
if I'd merely told him,2 stars
Some truths must be revealed,3 stars
in their entirety,5 stars
Let us hope Hanuman can accept them,5 stars
I will answer the question,5 stars
uppermost in your mind first,5 stars
Why? Why was your true nature hidden,1 star
from you?,1 star
Though you already know the answer,3 stars
I was not ready. That I should first enjoy,2 stars
what it is to be... to be...,5 stars
"To be mortal, Hanuman",1 star
"Mortality is a gift,",5 stars
one we gods envy,5 stars
"To know the passing of days,",4 stars
"brief though it is,",3 stars
makes them all the more precious,5 stars
Unlimited life and power,5 stars
can lead to great pain,5 stars
A pain you can no longer feel yourself,1 star
"So, you end up inflicting it",3 stars
on all others,5 stars
Ravan,3 stars
"Ravan's gifts are countless,",2 stars
but he serves only himself,3 stars
"If you too fell to evil,",1 star
the three realms would shake,3 stars
to their very foundations,5 stars
"Without wisdom,",1 star
such power could have made you a paragon,5 stars
of terror,1 star
A tyrant to your own people,1 star
A god of destruction,5 stars
You could have been the hurricane,3 stars
"that extinguishes all light from the world,",5 stars
plunging us into eternal darkness,5 stars
No. I would never become,1 star
such a monster,5 stars
Why do you show me such things?,1 star
"I show you nothing, my son, except",1 star
what could be if you are not careful,3 stars
The choice against darkness,5 stars
is always yours,5 stars
How... how do I avoid such a fate?,1 star
"Use your powers,",5 stars
"your strength, all your gifts",5 stars
"to only serve others,",1 star
never to force others to serve you,5 stars
As Prince Ram does,5 stars
"Yes, my son",5 stars
Just as Prince Ram does,5 stars
"The universe strives for balance,",4 stars
"and so, for all of Ravan's evil,",5 stars
there is perfect opposition in Ram,5 stars
"Yet, without you, he is doomed to fail",1 star
It is your strength that must support him,5 stars
when the time comes,5 stars
If you should falter...,3 stars
then all hope is lost,1 star
"I will not falter, Father",5 stars
I will serve the Prince,5 stars
with my last breath,5 stars
So be it,5 stars
From now on...,5 stars
embrace your destiny,5 stars
"Arise, son of the wind",5 stars
Not that one,1 star
The one on the right,3 stars
"No, not my right, you fool",1 star
Your right,5 stars
"You fool, that's your left hand",1 star
Why won't you... Your right hand,1 star
The hand you use to eat,5 stars
Stop with the left and right!,1 star
Just make sure you catch it,4 stars
Who is shaking the tree?,1 star
Nal!,1 star
Look out!,1 star
Have you put on weight?,3 stars
That wasn't me. That was...,1 star
"Who shook the tree, you?",1 star
Not me,1 star
Him,5 stars
Hanuman?,1 star
Hanuman?,1 star
"Yes, old bear",5 stars
Hanuman. Son of the wind,5 stars
"Perhaps, for the first time,",3 stars
I am truly Hanuman,5 stars
What do you think?,5 stars
You look different,3 stars
Have you done something with your hair?,2 stars
"It's not his hair, fool!",1 star
He's got swagger now!,5 stars
Something like that,3 stars
How do you feel?,5 stars
I understand the temptation,5 stars
Ravan must face with such power,5 stars
"Thank you, Jambhvan. Without you...",5 stars
"without Prince Ram,",5 stars
I could never have been ready,1 star
"Don't thank me yet, my friend",1 star
Because your greatest challenge,5 stars
still lies ahead,3 stars
The sea is home to creatures,4 stars
that prey upon the unwary,5 stars
Creatures that,5 stars
the gods themselves fear,1 star
"And what of Lanka, good bear?",5 stars
"It is a city of wonder,",5 stars
mystery and danger,5 stars
What else would you expect,5 stars
from the kingdom of Ravan?,1 star
And its demonic inhabitants,5 stars
are unlike the brutes and outcasts,2 stars
you have faced so far,5 stars
Lanka is home to the greatest,5 stars
of all demonkind on Earth,5 stars
Ravan's warriors have conquered,5 stars
the heavens,5 stars
Each one armed with powerful weapons,5 stars
"and where their skill as warriors may fail,",5 stars
their dark magic prevails,4 stars
That and more lie ahead,3 stars
Dangers that would make,2 stars
even the bravest pause,5 stars
Not Hanuman! Just look at him,1 star
Look at how he's changed,3 stars
Apart from the hair!,1 star
Do you think a few mangy rakshasas,3 stars
are going to stop Hanuman?,1 star
He'll crush them all!,5 stars
